Type,year_of_publish,mean
BR_IN_F,2012,4254
BR_IN_F,2013,4517
BR_IN_F,2014,4833
BR_IN_F,2015,5068
BR_IN_F,2016,5104
BR_IN_F,2017,5284
BR_IN_F,2018,5422
BR_IN_F,2019,5491
BR_US_F,2012,2451
BR_US_F,2013,2456
BR_US_F,2014,2460
BR_US_F,2015,2478
BR_US_F,2016,2493
BR_US_F,2017,2538
BR_US_F,2018,2560
BR_US_F,2019,2550
DD_IN_F,2012,3068
DD_IN_F,2013,3173
DD_IN_F,2014,3181
DD_IN_F,2015,3228
DD_IN_F,2016,3319
DD_IN_F,2017,3430
DD_IN_F,2018,3397
DD_IN_F,2019,3452
DD_US_F,2012,6990
DD_US_F,2013,7278
DD_US_F,2014,7648
DD_US_F,2015,8047
DD_US_F,2016,8392
DD_US_F,2017,8828
DD_US_F,2018,9141
DD_US_F,2019,9419
Other_reveneue,2012,37511
Other_reveneue,2013,24844
Other_reveneue,2014,26530
Other_reveneue,2015,30191
Other_reveneue,2016,53697
Other_reveneue,2017,51466
Other_reveneue,2018,52510
Other_reveneue,2019,50075
Total_reveneu,2012,628198
Total_reveneu,2013,658181
Total_reveneu,2014,713840
Total_reveneu,2015,748709
Total_reveneu,2016,810933
Total_reveneu,2017,828889
Total_reveneu,2018,860501
Total_reveneu,2019,1321617
