Type,year_of_publish,mean
Franchise_income,2012,398475
Franchise_income,2013,418940
Franchise_income,2014,453976
Franchise_income,2015,482329
Franchise_income,2016,513222
Franchise_income,2017,549571
Franchise_income,2018,592689
Franchise_income,2019,578342
Rental_income,2012,92145
Rental_income,2013,96816
Rental_income,2014,96082
Rental_income,2015,97663
Rental_income,2016,100422
Rental_income,2017,101020
Rental_income,2018,104643
Rental_income,2019,104413
Sales_of_company restaurant,2013,22922
Sales_of_company restaurant,2014,24976
Sales_of_company restaurant,2015,22206
Sales_of_company restaurant,2016,28340
Sales_of_company restaurant,2017,11975
Sales_of_Icecream,2012,100068
Sales_of_Icecream,2013,94659
Sales_of_Icecream,2014,112276
Sales_of_Icecream,2015,116320
Sales_of_Icecream,2016,115252
Sales_of_Icecream,2017,114857
Sales_of_Icecream,2018,110659
Sales_of_Icecream,2019,95197
